Zipcodes	Latitude	Longitude
78704	30.246	-97.761
78745	30.208	-97.796
78758	30.384	-97.704
78741	30.231	-97.716
78753	30.375	-97.676
78759	30.406	-97.757
78748	30.172	-97.823
78744	30.188	-97.74
78749	30.216	-97.858
78723	30.307	-97.687
78727	30.426	-97.714
78717	30.495	-97.757
78731	30.344	-97.764
78705	30.292	-97.739
78703	30.291	-97.763
78728	30.452	-97.68
78750	30.439	-97.804
78746	30.288	-97.802
78757	30.349	-97.733
78702	30.265	-97.719
78751	30.311	-97.723
78735	30.251	-97.845
78754	30.354	-97.647
78752	30.333	-97.706
78617	30.166	-97.625
78724	30.294	-97.629
78747	30.133	-97.762
78737	30.19	-97.959
78739	30.172	-97.873
78726	30.439	-97.835
78732	30.383	-97.895
78756	30.32	-97.742
78721	30.273	-97.687
78730	30.36	-97.831
78736	30.246	-97.942
78733	30.33	-97.875
78722	30.289	-97.717
78725	30.232	-97.61
